id,months,gender,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
83,21,1,0.0029,11.5486,0.11261,8.2,9.2,10.3,11.5,12.9,14.5,16.2
84,22,1,-0.0028,11.7504,0.11314,8.4,9.4,10.5,11.8,13.2,14.7,16.5
85,23,1,-0.0083,11.9514,0.11369,8.5,9.5,10.7,12,13.4,15,16.8
86,24,1,-0.0137,12.1515,0.11426,8.6,9.7,10.8,12.2,13.6,15.3,17.1
87,25,1,-0.0189,12.3502,0.11485,8.8,9.8,11,12.4,13.9,15.5,17.5
88,26,1,-0.024,12.5466,0.11544,8.9,10,11.2,12.5,14.1,15.8,17.8
89,27,1,-0.0289,12.7401,0.11604,9,10.1,11.3,12.7,14.3,16.1,18.1
90,28,1,-0.0337,12.9303,0.11664,9.1,10.2,11.5,12.9,14.5,16.3,18.4
91,29,1,-0.0385,13.1169,0.11723,9.2,10.4,11.7,13.1,14.8,16.6,18.7
92,30,1,-0.0431,13.3,0.11781,9.4,10.5,11.8,13.3,15,16.9,19
93,31,1,-0.0476,13.4798,0.11839,9.5,10.7,12,13.5,15.2,17.1,19.3
94,32,1,-0.052,13.6567,0.11896,9.6,10.8,12.1,13.7,15.4,17.4,19.6
95,33,1,-0.0564,13.8309,0.11953,9.7,10.9,12.3,13.8,15.6,17.6,19.9
96,34,1,-0.0606,14.0031,0.12008,9.8,11,12.4,14,15.8,17.8,20.2
97,35,1,-0.0648,14.1736,0.12062,9.9,11.2,12.6,14.2,16,18.1,20.4
98,36,1,-0.0689,14.3429,0.12116,10,11.3,12.7,14.3,16.2,18.3,20.7
99,37,1,-0.0729,14.5113,0.12168,10.1,11.4,12.9,14.5,16.4,18.6,21
100,38,1,-0.0769,14.6791,0.1222,10.2,11.5,13,14.7,16.6,18.8,21.3
101,39,1,-0.0808,14.8466,0.12271,10.3,11.6,13.1,14.8,16.8,19,21.6
102,40,1,-0.0846,15.014,0.12322,10.4,11.8,13.3,15,17,19.3,21.9
103,41,1,-0.0883,15.1813,0.12373,10.5,11.9,13.4,15.2,17.2,19.5,22.1
104,42,1,-0.092,15.3486,0.12425,10.6,12,13.6,15.3,17.4,19.7,22.4
105,43,1,-0.0957,15.5158,0.12478,10.7,12.1,13.7,15.5,17.6,20,22.7
106,44,1,-0.0993,15.6828,0.12531,10.8,12.2,13.8,15.7,17.8,20.2,23
107,45,1,-0.1028,15.8497,0.12586,10.9,12.4,14,15.8,18,20.5,23.3
108,46,1,-0.1063,16.0163,0.12643,11,12.5,14.1,16,18.2,20.7,23.6
109,47,1,-0.1097,16.1827,0.127,11.1,12.6,14.3,16.2,18.4,20.9,23.9
110,48,1,-0.1131,16.3489,0.12759,11.2,12.7,14.4,16.3,18.6,21.2,24.2
111,49,1,-0.1165,16.515,0.12819,11.3,12.8,14.5,16.5,18.8,21.4,24.5
112,50,1,-0.1198,16.6811,0.1288,11.4,12.9,14.7,16.7,19,21.7,24.8
113,51,1,-0.123,16.8471,0.12943,11.5,13.1,14.8,16.8,19.2,21.9,25.1
114,52,1,-0.1262,17.0132,0.13005,11.6,13.2,15,17,19.4,22.2,25.4
115,53,1,-0.1294,17.1792,0.13069,11.7,13.3,15.1,17.2,19.6,22.4,25.7
116,54,1,-0.1325,17.3452,0.13133,11.8,13.4,15.2,17.3,19.8,22.7,26
117,55,1,-0.1356,17.5111,0.13197,11.9,13.5,15.4,17.5,20,22.9,26.3
118,56,1,-0.1387,17.6768,0.13261,12,13.6,15.5,17.7,20.2,23.2,26.6
119,57,1,-0.1417,17.8422,0.13325,12.1,13.7,15.6,17.8,20.4,23.4,26.9
120,58,1,-0.1447,18.0073,0.13389,12.2,13.8,15.8,18,20.6,23.7,27.2
121,59,1,-0.1477,18.1722,0.13453,12.3,14,15.9,18.2,20.8,23.9,27.6
122,60,1,-0.1506,18.3366,0.13517,12.4,14.1,16,18.3,21,24.2,27.9
